
💙央视频道,#genre#
CCTV-1,http://120.196.232.19:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226737/1.m3u8
CCTV-1,http://hms2884nc1972666631.live.aikan.miguvideo.com/wh7f454c46tw4287446704_860946863/wd_r2/cctv/cctv1hd/2500/01.m3u8?msisdn=19115966146&Channel_ID=0119_04102000-99000_400300000040002&client_ip=182.138.167.8&timestamp=20230120095149&ContentId=265183188&timezone=UTC&mtv_session=d2cc8f912f5d2ca5f61ae51ca1c0f9de&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=6c5400524da132168ce5381885343750
CCTV-1,https://media.hndyjyfw.gov.cn/live/jz-cctv-1/live.m3u8
CCTV-2,http://120.196.232.54:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226739/1.m3u8
CCTV-2,http://111.20.33.70/TVOD/88888893/224/3221226195/index.m3u8
CCTV-2,http://hms2884nc1972666632.live.aikan.miguvideo.com/wh7f454c46tw3165201371_1718419928/wd_r2/cctv/cctv2hd/3000/01.m3u8?msisdn=19115966146&Channel_ID=0119_04102000-99000_400300000040002&client_ip=182.149.232.250&timestamp=20221217010924&ContentId=265667329&timezone=UTC&mtv_session=2c484bd5d353c7c76c8a43db1b124212&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=5a6eabddb7575f2c54e2463de569cf01
CCTV-2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225762/1.m3u8
CCTV-3,http://120.196.232.50:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226720/1.m3u8
CCTV-3,http://111.20.33.70/TVOD/88888893/224/3221226397/index.m3u8
CCTV-3,http://hms2844nc1972666627.live.aikan.miguvideo.com/wh7f454c46tw3400904169_-1231494704/wd_r2/ocn/cctv3hd/3000/01.m3u8?msisdn=19115966146&Channel_ID=0119_04102000-99000_400300000040002&client_ip=182.138.167.8&timestamp=20230120093702&ContentId=265667206&timezone=UTC&mtv_session=54646866640a3bf84afc17ea58ba87c7&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=154a87cd8730e50f6445b00304a8e07f
CCTV-3,https://media.hndyjyfw.gov.cn/live/jz-cctv-3/live.m3u8
CCTV-4,http://111.20.33.70/TVOD/88888893/224/3221226223/index.m3u8
CCTV-5,http://111.20.33.70/TVOD/88888893/224/3221226395/index.m3u8
CCTV-5,https://media.hndyjyfw.gov.cn/live/jz-cctv-5/live.m3u8
CCTV-6,http://111.20.33.70/TVOD/88888893/224/3221226011/index.m3u8
CCTV-6,https://media.hndyjyfw.gov.cn/live/jz-cctv-6/live.m3u8
CCTV-7,http://111.20.33.70/TVOD/88888893/224/3221226192/index.m3u8
CCTV-7,https://media.hndyjyfw.gov.cn/live/jz-cctv-7/live.m3u8
CCTV-8,http://111.20.33.70/TVOD/88888893/224/3221226012/index.m3u8
CCTV-8,http://111.20.33.70/TVOD/88888893/224/3221226391/index.m3u8
CCTV-12,http://111.20.33.70/TVOD/88888893/224/3221226190/index.m3u8
CCTV-13,http://111.20.33.70/TVOD/88888893/224/3221226233/index.m3u8
CCTV-16,http://111.20.33.70/TVOD/88888893/224/3221226921/index.m3u8
CCTV-17,http://111.20.33.70/TVOD/88888893/224/3221226198/index.m3u8
CCTV-9,https://media.hndyjyfw.gov.cn/live/jz-cctv-9/live.m3u8
CCTV-5,http://111.20.33.93/PLTV/88888893/224/3221226395/index.m3u8
CCTV-5+,http://111.20.33.93/PLTV/88888893/224/3221226221/index.m3u8
CCTV-6,http://111.20.33.93/PLTV/88888893/224/3221226011/index.m3u8
CCTV-7,http://111.20.33.93/PLTV/88888893/224/3221226192/index.m3u8
CCTV-8,http://111.20.33.93/PLTV/88888893/224/3221226391/index.m3u8
CCTV-10,http://111.20.33.93/PLTV/88888893/224/3221226189/index.m3u8
CCTV-11,http://111.20.33.93/PLTV/88888893/224/3221226240/index.m3u8
CCTV-12,http://111.20.33.93/PLTV/88888893/224/3221226190/index.m3u8
CCTV-13,http://111.20.33.93/PLTV/88888893/224/3221226233/index.m3u8
CCTV-16,http://111.20.33.93/PLTV/88888893/224/3221226921/index.m3u8
CCTV-17,http://111.20.33.93/PLTV/88888893/224/3221226198/index.m3u8

💘陕西卫视,#genre#
陕西都市青春,https://live.sxtvs.com.cn/lsdream/zAJprk2/1000/92wz3J0.m3u8
陕西都市青春,http://stream.snrtv.com/sxbc-2-hLUV37.m3u8
陕西都市青春,http://stream.snrtv.com/sxbc-2-pAEGI5.m3u8
陕西都市青春,http://111.20.41.248/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226358/1.m3u8
陕西影视频道,http://111.20.41.252/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226360/1.m3u8
陕西影视频道,http://111.20.33.93/PLTV/88888893/224/3221226360/index.m3u8
陕西公共频道,http://111.20.41.242/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226361/1.m3u8
陕西新闻资讯,https://live.sxtvs.com.cn/lsdream/SeT8Mem/1000/e19S3T0.m3u8
陕西新闻资讯,http://111.20.33.93/PLTV/88888893/224/3221226357/index.m3u8
陕西生活频道,https://live.sxtvs.com.cn/lsdream/a73O8Sd/1000/93ea3b0.m3u8
陕西生活频道,http://111.20.33.93/PLTV/88888893/224/3221226359/index.m3u8
陕西体育休闲,http://111.20.41.248/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226363/1.m3u8
陕西西部电影,http://111.20.41.248/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226364/1.m3u8
陕西西部电影,http://111.20.33.93/PLTV/88888893/224/3221226364/index.m3u8
西安新闻综合,http://stream2.xiancity.cn/xatv1/sd/live.m3u8
西安白鸽都市,http://stream2.xiancity.cn/xatv2/sd/live.m3u8
西安白鸽都市,http://stream2.xiancity.cn/xatv2/sd/live.m3u8
西安商务资讯,http://stream2.xiancity.cn/xatv3/sd/live.m3u8
西安文化影视,http://stream2.xiancity.cn/xatv4/sd/live.m3u8
西安丝路频道,http://stream2.xiancity.cn/xatv5/sd/live.m3u8
西安音乐综艺,http://stream2.xiancity.cn/xatv6/sd/live.m3u8
西安移动电视,http://stream2.xiancity.cn/xatv7/sd/live.m3u8

西安,#genre#
西安1,http://111.20.33.70/TVOD/88888893/224/3221226366/index.m3u8
西安2,http://111.20.33.70/TVOD/88888893/224/3221226367/index.m3u8
西安3,http://111.20.33.70/TVOD/88888893/224/3221226368/index.m3u8
西安4,http://111.20.33.70/TVOD/88888893/224/3221226369/index.m3u8
西安5,http://111.20.33.70/TVOD/88888893/224/3221226370/index.m3u8

💘香港台,#genre#
凤凰卫视中文台,http://223.109.210.41/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226308/index.m3u8
凤凰卫视中文台,http://php.17186.eu.org/phtv/fhzw.m3u8
凤凰卫视中文台,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226547/index.m3u8
凤凰资讯台,http://223.109.210.41/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226320/index.m3u8
凤凰资讯台,http://php.17186.eu.org/phtv/fhzx.m3u8
凤凰卫视香港台,http://php.17186.eu.org/phtv/fhhk.m3u8
中天新闻,https://p.ggiptv.com/vplay.php?token=JX97aLOF2hUwPn3oXcZH1j1z&tid=wintv123&id=43&p=0
中天新闻,https://p.ggiptv.com/vplay.php?token=JX97aLOF2hUwPn3oXcZH1j1z&tid=wintv123&id=43&p=1
台湾华视,https://p.ggiptv.com/vplay.php?token=eZqZGJeas0PUO5q2CFqhoJaN&tid=wintv123&id=50&p=0
台湾华视,https://p.ggiptv.com/vplay.php?token=eZqZGJeas0PUO5q2CFqhoJaN&tid=wintv123&id=50&p=1
台湾台视,https://epg.pw/stream/803c791208b40e0816487d6afdfe8d3a019712b6655f68c31725d20958253b99.m3u8
台湾台视,https://epg.pw/stream/6343a9f5faa4503789d87f9b034c6882454f3a5c47036b35685700a28fd30270.m3u8
台湾中视,https://p.ggiptv.com/vplay.php?token=cp3OGZedsUPUO5q2CFqho52N&tid=wintv123&id=50&p=0
台湾中视,https://p.ggiptv.com/vplay.php?token=cp3OGZedsUPUO5q2CFqho52N&tid=wintv123&id=50&p=1
东森新闻,https://p.ggiptv.com/vplay.php?token=WVbDhT3oXgqiyyejhK5lRpWd&tid=wintv123&id=44&p=0
东森新闻,https://p.ggiptv.com/vplay.php?token=WVbDhT3oXgqiyyejhK5lRpWd&tid=wintv123&id=44&p=1
东森新闻,https://pull-l3-cny.douyincdn.com/live/YesLiveTV-366df6b1-563a-4aeb-a0cc-752cc70eec06.m3u8?
TVB翡翠台,https://pull-l3-cny.douyincdn.com/live/YesLiveTV-9427dd7d-ea1a-47c2-83b3-d6f6cf1151d1.m3u8
测试,https://pull-l3-cny.douyincdn.com/live/92bfb071f054c95ff91f7c099b526c9e.flv
东风37台,https://epg.pw/stream/414c7bfc8364c08e6f089b8aaddaba6abf39a96c50afe7d6352a30b8322f4309.m3u8
龙华戏剧台,http://61.219.170.95:18507/.m3u8
东森电影,http://171.108.239.12:8181/tsfile/live/1010_1.m3u8
东森电影,http://120.84.96.32:808/hls/32/index.m3u8
东森超视,http://59.125.122.90:18555/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
凤凰电影,https://epg.pm/stream/0f1d0ac861db75da20b47738aa5bf789d32129acb76481dd281ee09d4b9d33a5.m3u8
凤凰电影,https://epg.pm/stream/3faefe9496fcc77a959a89eb0605e8c02f77cdc477845c6c7f2e9dc2a677a70f.m3u8
凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8
香港卫视,https://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv
NHK世界FHD,http://61.219.170.95:18525/http/192.168.1.9:8081/hls/62/804/ch06.m3u8
緯來戲劇,http://61.219.170.95:18557/http/192.168.1.9:8081/hls/69/811/ch33.m3u8
MUCH TV,http://61.219.170.95:18558/http/192.168.1.9:8081/hls/72/814/ch45.m3u8
廈門衛視,http://61.219.170.95:18531/http/192.168.1.9:8078/hls/42/80/xmtv.m3u8
凰衛視資訊,http://61.219.170.95:18565/http/192.168.1.9:8078/hls/20/80/phoenixif.m3u8
momo 綜合台,http://61.219.170.95:18576/http/192.168.1.9:8081/hls/76/818/momo_max.m3u8
龍華偶像劇,http://61.219.170.95:18573/http/192.168.1.9:8066/hls/210/10012/cstv12.m3u8
GTV八大综合台,http://61.219.170.95:18517/.m3u8
八大第一FHD,http://61.219.170.95:18539/http/192.168.1.9:8081/hls/66/808/ch22.m3u8
龍華日韓劇,http://61.219.170.95:18508/http/192.168.1.9:8088/hls/15/80/foxsports2.m3u8
東風衛視,http://61.219.170.95:18560/http/192.168.1.9:8081/hls/68/810/ch31.m3u8
Star World,http://61.219.170.95:18504/http/192.168.1.9:8081/hls/61/803/ch02.m3u8
湖南衛視,http://61.219.170.95:18536/http/192.168.1.9:8078/hls/41/80/huana.m3u8
鳯凰衛視中文,http://61.219.170.95:18566/http/192.168.1.9:8078/hls/21/80/phoenixch.m3u8
大愛電視,http://61.219.170.95:18567/http/192.168.1.9:8081/hls/73/815/ch52.m3u8
衛視電影FHD,http://61.219.170.95:18529/http/192.168.1.9:8081/hls/62/804/ch07.m3u8
海峽衛視FHD,http://61.219.170.95:18533/http/192.168.1.9:8077/hls/42/80/fjttv.m3u8
江蘇衛視,http://61.219.170.95:8547/http/192.168.1.9:8078/hls/42/80/cctv13.m3u8
衛視中文FHD,http://61.219.170.95:18522/http/192.168.1.9:8081/hls/62/804/ch05.m3u8
東森新聞,http://59.125.101.187:9608/http/116.50.42.18:8081/hls/63/805/ch10.m3u8
寰宇新闻,http://59.125.101.187:9874/http/116.50.42.18:8081/hls/76/818/ch62.m3u8

台湾,#genre#
中天新闻台,https://pull-l3-cny.douyincdn.com/live/7898d38d54c60879ba96a1fa42edbd53.m3u8
寰宇新闻台,https://pull-l3-cny.douyincdn.com/live/a9e3982a798d13ba350075af6cff4119.m3u8
TVBS新闻台,https://pull-l3-cny.douyincdn.com/live/e6b6ef594c30eb3f3de0fa4ba0ce86e6.m3u8
东森新闻,https://epg.pm/stream/3dc3d3023da9f9039fafba12b35f576c5168e47079711af0dbdb9c706d180f46.ctv
TVBS新闻台,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8 
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8 
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8 
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8 
民视新闻,https://epg.pw/stream/be529ea1748f48465787a8085087d4f3f6809911daa618e6d4d3ad9c5a4a2586.m3u8 
台视新闻,https://epg.pw/stream/682a45a237a9bc02b53554ec438ffa73f5bf25f3934811d45ed71aeb75c0a89a.m3u8 
台视,http://23.237.10.66:16344
台视,http://23.237.10.66:16344
台视,http://107.151.203.111:2209/135/us50.php?id=tsk
中视,https://p.ggiptv.com/vplay.php?token=MvQTuvhtg8eDaYvSKjP7gEw6&tid=gt&id=46&p=1
中视,http://www.336699.live:1935/blockfour/4gtv-4gtv040.stream/.m3u8
中视,http://www.336699.live:1935/blockfour/4gtv-4gtv040.stream/playlist.m3u8
华视,http://www.336699.live:1935/blockfour/4gtv-4gtv041.stream/playlist.m3u8
华视,http://www.336699.live:1935/blockfour/4gtv-4gtv041.stream/playlist.m3u8
华视,http://www.336699.live:1935/blockfour/4gtv-4gtv041.stream/playlist.m3u8
华视,http://114.84.76.27:7777/tsfile/live/1033_1.m3u8
台视,http://114.84.76.27:7777/tsfile/live/1032_1.m3u8
民视,http://www.336699.live:1935/blockfour/4gtv-4gtv002.stream/playlist.m3u8
民视,http://23.237.10.66:16334
民视,http://107.151.203.111:2209/135/us50.php?id=msk
民视,http://www.336699.live:1935/blockfour/4gtv-4gtv002.stream/playlist.m3u8
中视新闻,http://www.336699.live:1935/blockfour/4gtv-4gtv074.stream/playlist.m3u8
中视新闻,http://www.336699.live:1935/blockfour/4gtv-4gtv074.stream/playlist.m3u8
台视新闻，http://pull-l3-cny.douyincdn.com/live/af25e1a3f0fff1e8ea22c55a0c9352f0.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/playlist.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
民视新闻,https://pull-l3-cny.douyincdn.com/live/304b8e04a437299311112b7f4902c9dd.m3u8
中天新闻,http://www.336699.live:1935/blockfour/4gtv-4gtv009.stream/playlist.m3u8
中天新闻,http://www.336699.live:1935/blockfour/4gtv-4gtv009.stream/playlist.m3u8
中天新闻,https://pull-l3-cny.douyincdn.com/live/7898d38d54c60879ba96a1fa42edbd53.m3u8
中天新闻,http://154.216.191.59/iptv/tw222.php?id=41
寰宇新闻台,https://pull-l3-cny.douyincdn.com/live/a9e3982a798d13ba350075af6cff4119.m3u8
寰宇新闻台,http://www.yshmzmc.top/gtjm.php?id=live1222
寰宇新闻台,http://158.101.151.82:9000/jmsytb.m3u8?c=14
TVBS新闻,https://pull-l3-cny.douyincdn.com/live/e6b6ef594c30eb3f3de0fa4ba0ce86e6.m3u8
TVBS新闻,http://38.64.72.148/hls/modn/list/4006/playlist.m3u8
TVBS新闻,https://pull-l3-cny.douyincdn.com/live/e6b6ef594c30eb3f3de0fa4ba0ce86e6.m3u8
TVBS新闻,http://line.premiumpowers.net:80/Manuel/1234567/941622
TVBS亚洲台,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
TVBS亚洲台,https://pull-l3-cny.douyincdn.com/live/9f6ea8b662a55d5fa562ebaeb2880bfc.m3u8
东森新闻,http://www.336699.live:1935/blocksix/4gtv-live114.stream/chunklist.m3u8
东森LIVE,http://158.101.151.82:9000/jmsytb.m3u8?c=2
东森LIVE,http://158.101.151.82:9000/jmsytb.m3u8?c=2
东森LIVE,http://158.101.151.82:9000/jmsytb.m3u8?c=2
东森LIVE,http://158.101.151.82:9000/jmsytb.m3u8?c=2
澳门莲花,http://107.151.203.111:2209/135/hk.php?id=amlh
澳门莲花,https://pull-l3-cny.douyincdn.com/live/f3caad21816e3bfe2210a692387ab040.m3u8
中天综合,https://pull-l3-cny.douyincdn.com/live/5f26752efeee9e0c53cf6b530640ce60.m3u8
中天综合,https://pull-l3-cny.douyincdn.com/live/5f26752efeee9e0c53cf6b530640ce60.m3u8
